Id:,27077
Estación:,POBLADO C-22-TAB
Posición:,18.0655555556N -93.6269444444W
Variable:,Temp Promedio (oC)
Fecha Inicial:,12/01/1983
Fecha Final:,01/01/1984
No Dato:,nan
Mes,Día,Anio,Datos
12,01,1983,17.1
12,02,1983,20.5
12,03,1983,23.55
12,04,1983,19.85
12,05,1983,20.4
12,06,1983,16.3
12,07,1983,13.75
12,08,1983,15.9
12,09,1983,17.95
12,10,1983,20.1
12,11,1983,21.3
12,12,1983,18.9
12,13,1983,18.3
12,14,1983,15.1
12,15,1983,13.7
12,16,1983,16.25
12,17,1983,12.55
12,18,1983,9.65
12,19,1983,5.3
12,20,1983,11.7
12,21,1983,18.15
12,22,1983,7.25
12,23,1983,8.3
12,24,1983,3.4
12,25,1983,-1.65
12,26,1983,1.05
12,27,1983,11.0
12,28,1983,16.2
12,29,1983,4.75
12,30,1983,5.0
12,31,1983,6.3
